"ag_id","groupname","year","ag_irrelevant_flag","ag_monop_flag","ag_dominant_flag","ln_ag_area_sqkm","ag_pop","ln_ag_pop","ag_egip_share","ag_excl_share","ag_rlvt_share","ag_irrlvt_share","ag_up2jun_share","ag_excl_incr","ag_excl_decr","ag_onset_ko_flag","ag_onset_ko_terr_flag","ag_onset_ko_gov_flag","ag_incidence_flag","ag_incidence_terr_flag","ag_incidence_gov_flag","ag_incidence_flag_lag","ag_incidence_terr_flag_lag","ag_incidence_gov_flag_lag","ag_warhist","ag_peaceyears","ag_warhist_terr","ag_peaceyears_terr","ag_warhist_gov","ag_peaceyears_gov"
16001000,"Whites/mestizos",2002,0,1,0,18.4441931567997,36527620,7.56262137616649,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,56
20002000,"Scots",2005,0,0,0,16.8307870868648,5719260,6.75733984020791,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59,0,59
20003000,"Asians",2017,0,0,0,,1799610,6.25517839777023,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,71
20007000,"Protestants In N. Ireland",1982,0,0,0,15.7185329764871,563410,5.7508245510386,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,36
22003000,"Corsicans",1956,1,0,0,15.943275005413,178630,5.2519543982274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10
20007000,"Protestants In N. Ireland",1983,0,0,0,15.7185329764871,563790,5.75111736847894,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,37
23002000,"Catalans",1968,0,0,0,16.6760576909411,5603390,6.74845085072984,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,22
16001000,"Whites/mestizos",2003,0,1,0,18.4441931567997,36861210,7.56656958719608,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,0,57
20002000,"Scots",2006,0,0,0,16.8307870868648,5751120,6.7597524294642,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,60
22003000,"Corsicans",1957,1,0,0,15.943275005413,180610,5.25674179262526,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11
20002000,"Scots",2007,0,0,0,16.8307870868648,5785130,6.76231312260467,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,0,61,0,61
20007000,"Protestants In N. Ireland",1984,0,0,0,15.7185329764871,564370,5.75156392007038,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0,38
23002000,"Catalans",1969,0,0,0,16.6760576909411,5658480,6.75269978520463,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23
16001000,"Whites/mestizos",2004,0,1,0,18.4441931567997,37190560,7.57043271783407,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,0,58
22003000,"Corsicans",1958,1,0,0,15.943275005413,182620,5.26154833844469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12
16001000,"Whites/mestizos",2005,0,1,0,18.4441931567997,37520740,7.57427139513206,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59,0,59
20002000,"Scots",2008,0,0,0,16.8307870868648,5820680,6.76497372399639,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,0,62
20004000,"Afro-Caribbeans",1946,1,0,0,,1002780,6.00120566356275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007000,"Protestants In N. Ireland",1985,0,0,0,15.7185329764871,565170,5.75217910084063,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,39
23002000,"Catalans",1970,0,0,0,16.6760576909411,5710810,6.75669771132495,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24
22003000,"Corsicans",1959,1,0,0,15.943275005413,184520,5.26604344593623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,13
23002000,"Catalans",1971,0,0,0,16.6760576909411,5774000,6.7614767795447,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25
20002000,"Scots",2009,0,0,0,16.8307870868648,5856970,6.76767299953286,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,0,63
20007000,"Protestants In N. Ireland",1986,0,0,0,15.7185329764871,566230,5.75299287543054,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,40
22003000,"Corsicans",1960,1,0,0,15.943275005413,186340,5.27030609115291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14
20007000,"Protestants In N. Ireland",1987,0,0,0,15.7185329764871,567540,5.75399647585121,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,0,41
23002000,"Catalans",1972,0,0,0,16.6760576909411,5839480,6.76637417533408,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,26
16001000,"Whites/mestizos",2006,0,1,0,18.4441931567997,37853140,7.57810191099887,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,60
16001000,"Whites/mestizos",2007,0,1,0,18.4441931567997,38187030,7.58191588239088,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,61,0,61
20002000,"Scots",2010,0,0,0,16.8307870868648,5893380,6.77036444492723,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,0,64
20002000,"Scots",2011,0,0,0,16.8307870868648,5929660,6.77302979212361,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,65
22003000,"Corsicans",1961,1,0,0,15.943275005413,188520,5.2753574310876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15
20002000,"Scots",2012,0,0,0,16.8307870868648,5971030,6.77604925319513,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,0,66
20004000,"Afro-Caribbeans",1947,1,0,0,,1002780,6.00120566356275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
20007000,"Protestants In N. Ireland",1988,0,0,0,15.7185329764871,569020,5.75512753131069,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42
23002000,"Catalans",1973,0,0,0,16.6760576909411,5906400,6.77132285541441,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27
22003000,"Corsicans",1962,0,0,0,15.943275005413,192360,5.28411476840177,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,16
23002000,"Catalans",1974,0,0,0,16.6760576909411,5973540,6.77623177616007,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,28
16001000,"Whites/mestizos",2008,0,1,0,18.4441931567997,38522870,7.58571863511739,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,62,0,62
